Materia,Escuela,Relación 1,Relación 2,Relación 3,Relación 4,Relación 5,Relación 6,Relación 7,Relación 8,Relación 9,Relación 10
3D Rigging,0,Diseño de Juegos Digitales,Diseño de Personajes,Animación 3D,Modelado Orgánico 3D,BIM,,,,,
Animación 2D,0,Ilustración,Observación,Guión Audiovisual (Storyboards),Diseño Gráfico,Diseño de Personajes,,,,,
Animación 3D,0,Observación,Guión Audiovisual (Storyboards),Animación 2D,Dibujo Planimétrico 3D,Modelado Orgánico 3D,,,,,
Arquitectura de la Información,1,Métodos de Investigación Centrados en las Personas,Narratología y construcción de discurso,Señalética y Diseño Wayfinding,,,,,,,
Arquitectura de Sistemas,0,Diseño de Interacción y Experiencia de Usuario,Diseño de Interfaces,,,,,,,,
BIM,1,Dibujo Planimétrico 2D,Dibujo Planimétrico 3D,Diseño Paramétrico,Diseño para la Microhabitabilidad,,,,,,
Cine y Video,0,Fotografía,Iluminación,Guión Audiovisual (Storyboards),Narratología y construcción de discurso,,,,,,
Color,1,Observación,Fundamentos de la Física,Fundamentos de la Sicología,,,,,,,
Construcción Formal,1,Fundamentos de Geometría,Fundamentos de la Física,Fundamentos de los Materiales,,,,,,,
Dibujo Planimétrico 2D,1,Construcción Formal,Fundamentos de Geometría,,,,,,,,
Dibujo Planimétrico 3D,1,Construcción Formal,Dibujo Planimétrico 2D,,,,,,,,
Diseño de Agentes Inteligentes,0,Diseño UX para IA,Diseño de Interfaces Aurales,Observación,,,,,,,
Diseño de Alimentos,0,Fundamentos de la Sicología,Fundamentos de la Química,Diseño para la Celebración,Diseño de Servicios,,,,,,
Diseño de Ambientes Inteligentes,0,Métodos de Investigación Centrados en las Personas,Observación,Diseño de Interfaces Aurales,Diseño de Interacción y Experiencia de Usuario,Métodos de Investigación Centrados en las Personas,,,,,
Diseño de Dispositivos Inteligentes,0,Métodos de Investigación Centrados en las Personas,Arquitectura de la Información,Diseño de Interfaces,Diseño de Interacción y Experiencia de Usuario,Diseño de Información (Infoviz),,,,,
Diseño de Economía Circular,0,Diseño para la Sostenibilidad Social,Teoría Crítica del Diseño,Observación,Diseño para la Transición,Métodos Exploratorios,,,,,
Diseño de Editorial Digital,1,Observación,Diseño Gráfico,Tipografía,Narratología y construcción de discurso,,,,,,
Diseño de Espacios Urbanos Sostenibles,0,Observación,Diseño de Instrumentos para la Investigación,Métodos de Codiseño,Diseño de Microhabitabilidad,Diseño para la Sostenibilidad Social,Diseño Inclusivo y Accesibilidad,,,,
Diseño de Información (Infoviz),0,Observación,Arquitectura de la Información,Tipografía,Ilustración,Fundamentos de Computación,Programación Creativa,,,,
Diseño de Instrumentos para la Investigación,1,Observación,Métodos de Investigación Centrados en las Personas,Fundamentos de la Sicología,Fundamentos de las Matemáticas,,,,,,
Diseño de Interacción y Experiencia de Usuario,1,Observación,Arquitectura de Sistemas,Diseño de Interfaces,Arquitectura de la Información,Métodos de Investigación Centrados en las Personas,Métodos Exploratorios,,,,
Diseño de Interfaces,1,Observación,Tipografía,Fundamentos de la Sicología,Usabilidad,Diseño Inclusivo y Accesibilidad,,,,,
Diseño de Interfaces Aurales,0,Observación,Arquitectura de la Información,Métodos de Investigación Centrados en las Personas,Métodos de Codiseño,Diseño Inclusivo y Accesibilidad,Diseño UX para IA,,,,
Diseño de Juegos,1,Observación,Fundamentos de la Sicología,Fundamentos de las Matemáticas,Guión Audiovisual (Storyboards),Color,Diseño Gráfico,Diseño de Objetos,Diseño de Interacción y Experiencia de Usuario,,
Diseño de Juegos de Mesa,1,Observación,Diseño de Juegos,Diseño de Objetos,Diseño de Interacción y Experiencia de Usuario,Construcción Formal,Diseño Gráfico,Narratología y construcción de discurso,,,
Diseño de Juegos Digitales,0,Observación,Diseño de Juegos,Diseño de Personajes,Programación Creativa,Animación 2D,Animación 3D,,,,
Diseño de Juegos Serios,0,Observación,Diseño para la Educación,Fundamentos de la Sicología,Diseño Inclusivo y Accesibilidad,Métodos Exploratorios,Métodos de Investigación Centrados en las Personas,Diseño de Juegos,,,
Diseño de Microhabitabilidad,1,Observación,Diseño Industrial,Diseño de Objetos,Fabricación Digital,Dibujo Planimétrico 3D,Dibujo Planimétrico 2D,Iluminación,Ergonomía,,
Diseño de Narrativa Transmedia,0,Observación,Guión Audiovisual (Storyboards),Narratología y construcción de discurso,Diseño de Personajes,Guión Audiovisual (Storyboards),Arquitectura de la Información,Métodos de Investigación Centrados en las Personas,,,
Diseño de Objetos,1,Observación,Métodos de Diseño,Teoría del Diseño,Ergonomía,,,,,,
Diseño de Personajes,0,Observación,Modelado Orgánico 3D,Animación 3D,,,,,,,
Diseño de Servicios,1,Observación,Arquitectura de Sistemas,Arquitectura de la Información,Diseño de Interacción y Experiencia de Usuario,Diseño de Interfaces,,,,,
Diseño de Sistemas,0,Observación,Diseño de Servicios,Arquitectura de Sistemas,Diseño Front-End,,,,,,
Diseño Editorial,1,Observación,Observación,Diseño Gráfico,Tipografía,Narratología y construcción de discurso,,,,,
Diseño Efímero y de Celebración,1,Observación,Observación,Diseño de Objetos,Fabricación Digital,,,,,,
Diseño Front-End,1,Observación,Arquitectura de Sistemas,Diseño de Interfaces,Usabilidad,Diseño Inclusivo y Accesibilidad,,,,,
Diseño Gráfico,1,Observación,Animación 3D,Tipografía,Fotografía,Diseño Editorial,,,,,
Diseño Inclusivo y Accesibilidad,1,Observación,Diseño Participativo,Métodos de Investigación Centrados en las Personas,Métodos Exploratorios,Métodos de Codiseño,,,,,
Diseño Industrial,1,Observación,Observación,Fundamentos de los Materiales,Diseño de Objetos,Sistemas de Producción Masiva,,,,,
Diseño para la Celebración,1,Observación,Diseño Efímero y de Celebración,Observación,,,,,,,
Diseño para la Educación,1,Observación,Fundamentos de la Sicología,Diseño Gráfico,Diseño de Interacción y Experiencia de Usuario,Diseño de Objetos,Diseño Industrial,Diseño Gráfico,,,
Diseño para la Microhabitabilidad,1,Observación,Ergonomía,Diseño de Objetos,Iluminación,Fundamentos de los Materiales,Dibujo Planimétrico 3D,,,,
Diseño para la Realidad Aumentada,0,Observación,,Arquitectura de la Información,Diseño de Sistemas,Métodos de Investigación Centrados en las Personas,,,,,
Diseño para la Realidad Virtual,0,Observación,Programación Creativa,Diseño Front-End,Iluminación,Modelado Orgánico 3D,,,,,
Diseño para la Resiliencia Comunitaria,0,Observación,Métodos de Investigación Centrados en las Personas,Métodos de Codiseño,,,,,,,
Diseño para la Salud y Bienestar,0,Métodos de Investigación Centrados en las Personas,Diseño de Servicios,Métodos de Investigación Centrados en las Personas,,,,,,,
Diseño para la Sostenibilidad Social,0,Teoría Crítica del Diseño,Diseño para la Transición,Teoría Crítica del Diseño,Diseño de Servicios,,,,,,
Diseño para la Transición,0,Teoría Crítica del Diseño,Diseño para la Sostenibilidad Social,,,,,,,,
Diseño Paramétrico,0,Dibujo Planimétrico 2D,Dibujo Planimétrico 3D,,,,,,,,
Diseño Participativo,,Métodos Exploratorios,Métodos Generativos,Métodos de Investigación Centrados en las Personas,,,,,,,
Diseño UX para dispositivos móviles,1,Arquitectura de la Información,Métodos de Investigación Centrados en las Personas,Métodos de Diseño,Diseño de Interfaces,,,,,,
Diseño UX para IA,0,Machine Learning Aplicado al Diseño,Diseño de Interfaces Aurales,Arquitectura de la Información,Arquitectura de Sistemas,,,,,,
Diseño y Empresa,1,Fundamentos de Economía,EcoDiseño,Diseño para la Transición,,,,,,,
EcoDiseño,0,Diseño para la Sostenibilidad Social,Diseño para la Transición,,,,,,,,
Edición Audiovisual,0,Narratología y construcción de discurso,Diseño Gráfico,Cine y Video,,,,,,,
Ergonomía,0,Métodos de Investigación Centrados en las Personas,Fundamentos de las Matemáticas,,,,,,,,
Estudios Culturales del Diseño,1,Historia del Diseño,Fundamentos de la Sicología,Teoría Crítica del Diseño,,,,,,,
Ética del Diseño,1,Teoría Crítica del Diseño,Métodos de Investigación Centrados en las Personas,Filosofía del Diseño,,,,,,,
Fabricación Digital,1,Construcción Formal,Fundamentos de Computación,Fundamentos de la Física,Fundamentos de los Materiales,,,,,,
Filosofía del Diseño,1,Teoría del Diseño,Historia del Diseño,,,,,,,,
Fotografía,0,Iluminación,Fundamentos de la Física,Diseño Gráfico,Observación,Color,Cine y Video,,,,
Fundamentos de Computación,0,Fundamentos de las Matemáticas,,,,,,,,,
Fundamentos de Economía,0,EcoDiseño,Diseño para la Sostenibilidad Social,Diseño para la Transición,,,,,,,
Fundamentos de Electrónica,1,Diseño Industrial,Arquitectura de Sistemas,Robótica y Arduino,,,,,,,
Fundamentos de Geometría,1,Fundamentos de las Matemáticas,Construcción Formal,Diseño de Objetos,,,,,,,
Fundamentos de la Física,0,Ilustración,,,,,,,,,
Fundamentos de la Química,0,Fundamentos de los Materiales,,,,,,,,,
Fundamentos de la Sicología,0,Historia del Diseño,,,,,,,,,
Fundamentos de las Matemáticas,1,Programación Creativa,,,,,,,,,
Fundamentos de los Materiales,0,Fundamentos de la Física,Fundamentos de la Química,,,,,,,,
Guión Audiovisual (Storyboards),0,Narratología y construcción de discurso,,,,,,,,,
Historia del Diseño,1,Teoría Crítica del Diseño,Observación,,,,,,,,
Iluminación,0,Dibujo Planimétrico 3D,Fotografía,Observación,,,,,,,
Ilustración,0,Observación,Fundamentos de la Física,,,,,,,,
Machine Learning Aplicado al Diseño,0,Observación,Arquitectura de Sistemas,Filosofía del Diseño,Diseño de Sistemas,,,,,,
Métodos de Codiseño,1,Fundamentos de Computación,Fundamentos de las Matemáticas,,,,,,,,
Métodos de Diseño,1,Fundamentos de la Sicología,Métodos Exploratorios,Métodos Generativos,Observación,Usabilidad,Teoría del Diseño,Teoría Crítica del Diseño,Métodos de Investigación Centrados en las Personas,,
Métodos de Investigación Centrados en las Personas,1,Diseño de Instrumentos para la Investigación,Métodos de Investigación Centrados en las Personas,Teoría del Diseño,,,,,,,
Métodos Exploratorios,1,Teoría del Diseño,Métodos de Diseño,,,,,,,,
Métodos Generativos,1,Fundamentos de la Sicología,Observación,Métodos de Investigación Centrados en las Personas,,,,,,,
Modelado Orgánico 3D,0,Métodos de Investigación Centrados en las Personas,Observación,,,,,,,,
Museografía (Espacios Expositivos),1,Métodos de Codiseño,,,,,,,,,
Narratología y construcción de discurso,0,Dibujo Planimétrico 3D,Ilustración,Observación,,,,,,,
Observación,1,Señalética y Diseño Wayfinding,Iluminación,Narratología y construcción de discurso,Arquitectura de la Información,,,,,,
Programación Creativa,1,Fundamentos de las Matemáticas,,,,,,,,,
Prototipado VR,0,Fundamentos de las Matemáticas,,,,,,,,,
Robótica y Arduino,1,Fundamentos de las Matemáticas,Fundamentos de Computación,,,,,,,,
Señalética y Diseño Wayfinding,0,Fundamentos de las Matemáticas,Dibujo Planimétrico 3D,Modelado Orgánico 3D,,,,,,,
Shaders y Gráficos en Tiempo Real,0,Fundamentos de Computación,Fundamentos de las Matemáticas,Fabricación Digital,Fundamentos de la Física,,,,,,
Sistemas de Impresión,0,Arquitectura de la Información,Diseño Inclusivo y Accesibilidad,Métodos de Investigación Centrados en las Personas,,,,,,,
Sistemas de Producción Masiva,0,Programación Creativa,Fundamentos de las Matemáticas,Fundamentos de Geometría,,,,,,,
Teoría Crítica del Diseño,0,Historia del Diseño,Diseño Gráfico,,,,,,,,
Teoría del Diseño,0,Fabricación Digital,Fundamentos de los Materiales,,,,,,,,
Tipografía,1,Historia del Diseño,,,,,,,,,
Usabilidad,0,Fundamentos de la Sicología,Diseño de Personajes,Métodos de Diseño,,,,,,,